Project_ID, Ticket_num, num_matches, Date_Opened, Date_Closed
selenium, 8052, 0, 2020-02-25T03:29:00.220-07:00, 2020-02-25T03:29:00.360-07:00
selenium, 8056, 0, 2020-02-25T10:13:00.310-07:00, 2020-02-25T10:21:00.020-07:00
selenium, 8058, 0, 2020-02-26T00:25:00.420-07:00, 2020-03-05T04:15:00.500-07:00
selenium, 8060, 0, 2020-02-26T04:49:00.520-07:00, 2020-02-26T04:50:00.050-07:00
selenium, 8061, 0, 2020-02-26T04:53:00.250-07:00, 2020-03-09T11:15:00.190-06:00
selenium, 8062, 0, 2020-02-27T02:09:00.340-07:00, 2020-02-27T03:50:00.510-07:00
selenium, 8064, 0, 2020-02-27T06:33:00.180-07:00, 2020-02-27T06:33:00.350-07:00
selenium, 8066, 0, 2020-02-27T09:57:00.350-07:00, 2020-03-05T01:48:00.070-07:00
selenium, 8072, 0, 2020-02-27T16:00:00.550-07:00, 2020-03-11T09:00:00.480-06:00
selenium, 8073, 0, 2020-02-27T18:13:00.070-07:00, 2020-02-29T00:06:00.050-07:00
selenium, 8074, 0, 2020-02-27T21:11:00.110-07:00, 2020-03-05T03:14:00.590-07:00
selenium, 8077, 0, 2020-02-28T11:00:00.230-07:00, 2020-02-29T00:36:00.380-07:00
selenium, 8079, 0, 2020-03-02T07:58:00.300-07:00, 2020-03-02T15:31:00.030-07:00
selenium, 8080, 0, 2020-03-02T10:11:00.520-07:00, 2020-03-02T12:34:00.560-07:00
selenium, 8081, 1, 2020-03-02T13:09:00.200-07:00, 2020-03-02T13:09:00.250-07:00
selenium, 8082, 1, 2020-03-02T13:15:00.520-07:00, 2020-03-02T13:15:00.560-07:00
selenium, 8083, 0, 2020-03-02T19:13:00.550-07:00, 2020-03-05T03:14:00.590-07:00
selenium, 8085, 0, 2020-03-03T11:45:00.110-07:00, 2020-03-03T13:53:00.530-07:00
selenium, 8086, 1, 2020-03-04T02:45:00.550-07:00, 2020-03-05T03:50:00.500-07:00
selenium, 8087, 0, 2020-03-04T14:56:00.500-07:00, 2020-03-17T09:44:00.370-06:00
selenium, 8088, 0, 2020-03-04T21:45:00.360-07:00, 2020-03-04T21:45:00.480-07:00
selenium, 8089, 0, 2020-03-05T03:44:00.110-07:00, 2020-03-05T03:44:00.160-07:00
selenium, 8090, 0, 2020-03-05T03:47:00.430-07:00, 2020-03-05T03:47:00.480-07:00
selenium, 8092, 0, 2020-03-06T05:08:00.560-07:00, 2020-03-06T05:09:00.010-07:00
selenium, 8093, 0, 2020-03-09T00:13:00.260-06:00, 2020-03-09T03:43:00.100-06:00
selenium, 8095, 0, 2020-03-09T12:08:00.280-06:00, 2020-03-09T12:40:00.590-06:00
selenium, 8096, 0, 2020-03-09T13:31:00.080-06:00, 2020-03-10T05:12:00.520-06:00
selenium, 8097, 0, 2020-03-09T22:55:00.110-06:00, 2020-03-09T22:55:00.240-06:00
selenium, 8098, 0, 2020-03-10T15:52:00.040-06:00, 2020-03-10T17:20:00.590-06:00
selenium, 8099, 0, 2020-03-11T17:15:00.260-06:00, 2020-03-11T17:15:00.380-06:00
selenium, 8100, 0, 2020-03-11T17:23:00.520-06:00, 2020-03-11T23:53:00.400-06:00
selenium, 8104, 0, 2020-03-12T11:23:00.000-06:00, 2020-03-12T12:29:00.310-06:00
selenium, 8106, 0, 2020-03-12T14:58:00.040-06:00, 2020-03-12T14:58:00.180-06:00
